Sector,N,Mean_CAR_pct,t_stat,p_ttest,BMP_t,BMP_p,Wilcoxon_p,Prop_Negative,Sign_p,Rank_t,Rank_p
Automobiles,1,2.43,,,,,,,,,
Banks,9,-6.07,-1.97,0.0847,-1.19,0.2677,0.1289,0.78,0.1797,0.0,1.0
Capital Goods,27,-2.97,-1.26,0.2173,0.48,0.6323,0.3608,0.56,0.7011,0.0,1.0
Commercial Services,6,0.27,0.04,0.9709,-0.43,0.6884,0.5625,0.67,0.6875,0.0,1.0
Consumer Durables,8,-2.28,-0.62,0.5549,-0.23,0.8232,0.8438,0.38,0.7266,0.0,1.0
Consumer Services,31,-3.97,-2.08,0.0459,-1.89,0.0689,0.1353,0.58,0.4731,-0.0,1.0
Diversified Financials,35,-6.69,-3.25,0.0026,-2.45,0.0196,0.003,0.77,0.0019,0.0,1.0
Energy,1,-2.09,,,,,,,,,
Food & Beverage,41,-4.18,-2.85,0.0069,-2.79,0.0081,0.0132,0.63,0.1173,0.0,1.0
Food Retailing,2,-0.04,-0.01,0.9944,-0.1,0.937,1.0,0.5,1.0,,
Healthcare Equipment,7,-0.66,-0.21,0.8439,-0.35,0.7389,0.9375,0.43,1.0,0.0,1.0
Household Products,1,-1.22,,,,,,,,,
Insurance,11,-6.36,-2.8,0.0187,-1.82,0.0991,0.0186,0.82,0.0654,0.0,1.0
Materials,17,-1.75,-0.63,0.5356,0.21,0.839,0.4038,0.59,0.6291,0.0,1.0
Real Estate,16,-9.23,-2.35,0.0327,-2.65,0.0183,0.0335,0.69,0.2101,0.0,1.0
Retailing,13,-2.5,-0.57,0.5764,0.14,0.8908,0.7354,0.46,1.0,0.0,1.0
Software & Services,1,-7.41,,,,,,,,,
Telecommunication Services,2,-5.34,-1.71,0.3368,-1.36,0.4047,0.5,1.0,0.5,,
Transportation,3,-10.03,-1.16,0.366,-1.45,0.2843,0.5,0.67,1.0,0.0,1.0
Utilities,5,-6.69,-1.83,0.1414,-1.67,0.1702,0.125,0.8,0.375,0.0,1.0
ALL STOCKS (Market),237,-4.42,-5.97,<0.001,-4.22,<0.001,0.0000,0.64,0.0,0.0,1.0000
