Sector,"Pre [-5,-1]","Day 0 [0,0]","[+1,+5]","[+6,+10]","[+11,+20]","[+21,+30]"
Automobiles,1.42,0.16,-0.82,0.55,1.67,-0.55
Banks,-1.91,0.09,-1.26,-1.12,-2.2,0.32
Capital Goods,-1.7,0.12,-0.34,0.78,0.25,-2.25
Commercial Services,4.66,-0.73,2.48,-2.0,-2.01,-2.25
Consumer Durables,0.24,-0.25,0.9,0.22,-1.53,-1.85
Consumer Services,0.9,-0.33,-3.5,0.91,-2.31,0.36
Diversified Financials,-0.96,-0.34,-2.1,-1.35,-0.31,-1.63
Energy,-0.7,0.05,-0.75,-1.69,0.53,0.46
Food & Beverage,-0.87,0.19,-1.95,-0.88,-0.02,-0.65
Food Retailing,-0.02,-0.34,1.88,0.77,-4.51,2.18
Healthcare Equipment,-0.89,0.58,1.32,-0.4,-0.53,-0.74
Household Products,-0.79,-0.08,-1.58,-0.51,1.72,0.02
Insurance,-0.97,-0.7,-4.01,-0.79,-0.15,0.25
Materials,-1.55,-0.43,0.83,0.76,-0.35,-1.1
Real Estate,-2.36,-0.18,-2.4,-2.93,-0.47,-0.96
Retailing,-0.92,2.25,-4.38,0.54,1.75,-1.74
Software & Services,-1.26,0.06,-2.32,-0.38,-2.77,-0.73
Telecommunication Services,-3.53,0.36,-2.34,0.68,0.98,-1.49
Transportation,-4.53,-1.21,-3.24,-0.21,7.54,-8.38
Utilities,0.77,-0.86,-0.78,-1.49,-1.12,-3.22
