Sector,N,MAR_Mean_CAR_pct,MM_Mean_CAR_pct,MAR_t,MAR_p
Automobiles,1,1.3,2.43,,
Banks,9,-4.53,-6.07,-3.87,0.0047
Capital Goods,27,2.98,-2.97,1.42,0.1689
Commercial Services,6,3.44,0.27,0.65,0.543
Consumer Durables,8,-2.98,-2.28,-3.18,0.0156
Consumer Services,31,-3.33,-3.97,-2.86,0.0076
Diversified Financials,35,-3.61,-6.69,-2.95,0.0057
Energy,1,-0.23,-2.09,,
Food & Beverage,41,-1.39,-4.18,-1.06,0.2943
Food Retailing,2,2.5,-0.04,2.2,0.2711
Healthcare Equipment,7,0.46,-0.66,0.23,0.8256
Household Products,1,0.66,-1.22,,
Insurance,11,-6.96,-6.36,-3.73,0.0039
Materials,17,2.25,-1.75,1.43,0.1724
Real Estate,16,-1.28,-9.23,-0.73,0.4751
Retailing,13,4.88,-2.5,1.22,0.2442
Software & Services,1,0.84,-7.41,,
Telecommunication Services,2,1.42,-5.34,4.39,0.1427
Transportation,3,6.9,-10.03,0.76,0.5284
Utilities,5,-2.36,-6.69,-1.72,0.1596
