Sector,N,Mean CAR(%),T-Stat,P-Value
Energy,3,-6.189743657719827,-1.8820746132340596,0.2005421898245318
Transportation,2,-5.57016065241576,-8.965763760597088,0.07071337585693846
Telecommunication Services,2,-3.0335914620566244,-170.10130648014555,0.0037425487884126113
Commercial Services,3,-2.8875302994099967,-0.8771211877663138,0.47292630891922127
Retailing,8,-2.8418040291929465,-1.942697735835671,0.0931641570692471
Real Estate,11,-2.3765395690026043,-2.148853464666077,0.057174944399914385
Utilities,9,-1.8258823629365013,-1.7306845782506117,0.1217552581610344
Software & Services,1,-1.4992297716821794,,
Consumer Durables,6,-0.9678384877542688,-0.4846706820540222,0.6483961571392274
Banks,16,-0.8962234951685963,-1.0556203811899025,0.3078481727662814
Diversified Financials,29,-0.8895479987247824,-1.6645730448025824,0.10715080786693129
Healthcare Equipment,7,-0.7698059889841342,-0.7254118473070071,0.49550702860625895
Insurance,9,-0.5928397511225789,-0.655545442991458,0.5305125990529317
Capital Goods,27,-0.4434773863141106,-0.60182239116956,0.5525046541531595
Materials,17,-0.1565773214849093,-0.24388671821434188,0.8104182273978181
Household Products,1,0.47684345699346,,
Food & Beverage,31,0.9546956255029119,1.6441646476857832,0.11058271454797383
Automobiles,1,1.39772507586808,,
Consumer Services,20,1.8650548990721696,1.6716711557292983,0.11097785875964883
